device_id,device_type,room_id,power_consumption,occupancy,temperature,humidity,hour,day_of_week,is_weekend,rolling_avg_power_3h,power_z_score
device_84,AC,room_2,0.0,3,17.65,68.81,2,Monday,0,0.0,-0.8001284891039806
device_28,TV,room_2,0.0,3,17.65,68.81,2,Monday,0,0.0,-0.609275300037559
device_97,AC,room_3,0.0,2,11.65,42.76,3,Monday,0,0.0,-0.5706444563805747
device_6,TV,room_3,0.0,4,11.22,51.94,4,Monday,0,0.0,-0.5331923942489687
device_54,Heater,room_3,0.0,5,7.12,58.86,5,Monday,0,0.0,-0.31679275686207625
device_74,AC,room_0,0.0,0,5.41,67.63,5,Monday,0,0.0,-0.6021968984318531
device_90,Light,room_0,0.0,0,5.41,67.63,5,Monday,0,0.0,-0.47985656211391764
device_90,Light,room_0,0.0,3,6.47,45.28,7,Monday,0,0.0,-0.47985656211391764
device_90,Light,room_0,0.0,3,7.11,48.46,7,Monday,0,0.0,-0.47985656211391764
device_60,Fridge,room_3,149.39,3,19.66,45.26,8,Monday,0,149.39,1.7879013055023276
device_97,AC,room_3,0.0,5,19.66,45.26,8,Monday,0,0.0,-0.5706444563805747
device_97,AC,room_3,0.0,3,19.66,45.26,8,Monday,0,0.0,-0.5706444563805747
device_79,TV,room_3,0.0,3,19.66,45.26,8,Monday,0,0.0,-0.5279146541752191
device_65,Fridge,room_2,145.34,1,19.87,76.67,9,Monday,0,145.34,1.7359996406233893
device_65,Fridge,room_2,145.34,1,19.87,76.67,9,Monday,0,145.34,1.7359996406233893
device_65,Fridge,room_2,145.34,1,17.04,54.03,9,Monday,0,145.34,1.7359996406233893
device_58,Fan,room_1,0.0,2,10.85,85.18,9,Monday,0,0.0,-1.0417778107391764
device_43,AC,room_0,0.0,4,15.29,69.1,11,Monday,0,0.0,-0.6728481756289292
device_98,TV,room_1,0.0,2,17.17,74.4,13,Monday,0,0.0,-0.5998933151747239
device_97,AC,room_3,0.0,5,9.43,64.6,14,Monday,0,0.0,-0.5706444563805747
device_54,Heater,room_3,1640.78,5,9.43,64.6,14,Monday,0,820.39,3.8248959470581005
device_4,Fridge,room_1,133.44,2,19.91,67.3,15,Monday,0,133.44,0.6664044649582479
device_4,Fridge,room_1,133.44,1,8.82,44.67,15,Monday,0,133.44,0.6664044649582479
device_4,Fridge,room_1,133.44,1,19.91,67.3,15,Monday,0,133.44,0.6664044649582479
device_54,Heater,room_3,1249.14,1,19.28,46.83,17,Monday,0,963.3066666666667,2.8363106620087355
device_54,Heater,room_3,1249.14,1,14.28,85.19,17,Monday,0,1379.6866666666667,2.8363106620087355
device_54,Heater,room_3,1249.14,4,19.28,46.83,17,Monday,0,1249.14,2.8363106620087355
device_54,Heater,room_3,1249.14,4,14.28,85.19,17,Monday,0,1249.14,2.8363106620087355
device_96,AC,room_3,0.0,4,10.06,68.22,20,Monday,0,0.0,-0.5465236209377297
device_96,AC,room_3,0.0,3,10.06,68.22,20,Monday,0,0.0,-0.5465236209377297
device_96,AC,room_3,0.0,4,10.06,68.22,20,Monday,0,0.0,-0.5465236209377297
device_44,Light,room_2,0.0,3,19.57,77.98,23,Monday,0,0.0,-0.5070099130598996
device_14,Fan,room_2,0.0,3,19.57,77.98,23,Monday,0,0.0,-0.8494730213195972
device_60,Fridge,room_3,133.41,3,11.08,56.06,2,Tuesday,0,141.39999999999998,0.4756359735600317
device_60,Fridge,room_3,133.41,3,16.34,49.53,2,Tuesday,0,138.73666666666665,0.4756359735600317
device_34,Fan,room_1,0.0,4,19.24,79.01,3,Tuesday,0,0.0,-0.9857249887324505
device_67,Light,room_2,0.0,5,7.79,51.89,4,Tuesday,0,0.0,-0.5316592728755944
device_40,AC,room_1,0.0,5,8.83,66.93,6,Tuesday,0,0.0,-0.5722034016236349
device_40,AC,room_1,0.0,4,8.83,66.93,6,Tuesday,0,0.0,-0.5722034016236349
device_35,AC,room_0,0.0,0,5.21,83.41,7,Tuesday,0,0.0,-0.624374469605913
device_6,TV,room_3,0.0,3,8.08,74.62,10,Tuesday,0,0.0,-0.5331923942489687
device_71,Fan,room_1,0.0,2,6.17,68.2,10,Tuesday,0,0.0,-0.829317231330717
device_57,TV,room_4,0.0,4,16.81,51.49,11,Tuesday,0,0.0,-0.4235310301584573
device_32,Light,room_4,0.0,2,6.55,43.76,13,Tuesday,0,0.0,-0.5372939823145966
device_32,Light,room_4,0.0,2,8.74,86.63,13,Tuesday,0,0.0,-0.5372939823145966
device_32,Light,room_4,0.0,5,8.74,86.63,13,Tuesday,0,0.0,-0.5372939823145966
device_57,TV,room_4,0.0,0,11.83,40.67,14,Tuesday,0,0.0,-0.4235310301584573
device_40,AC,room_1,0.0,0,11.2,74.55,14,Tuesday,0,0.0,-0.5722034016236349
device_40,AC,room_1,0.0,0,8.67,55.55,14,Tuesday,0,0.0,-0.5722034016236349
device_98,TV,room_1,0.0,3,13.81,60.87,15,Tuesday,0,0.0,-0.5998933151747239
device_10,AC,room_4,0.0,4,18.39,88.28,16,Tuesday,0,0.0,-0.5614817112962487
device_34,Fan,room_1,0.0,3,17.41,61.09,17,Tuesday,0,0.0,-0.9857249887324505
device_34,Fan,room_1,0.0,3,8.64,88.32,17,Tuesday,0,0.0,-0.9857249887324505
device_35,AC,room_0,0.0,1,19.81,50.08,19,Tuesday,0,0.0,-0.624374469605913
device_98,TV,room_1,112.94,2,14.17,72.51,21,Tuesday,0,37.64666666666667,1.4720757944054141
device_84,AC,room_2,0.0,0,6.12,60.64,22,Tuesday,0,0.0,-0.8001284891039806
device_84,AC,room_2,0.0,0,14.67,87.9,22,Tuesday,0,0.0,-0.8001284891039806
device_12,Light,room_2,54.5,0,6.12,60.64,22,Tuesday,0,54.5,1.6414214971471837
device_12,Light,room_2,54.5,0,14.67,87.9,22,Tuesday,0,54.5,1.6414214971471837
device_42,Light,room_0,0.0,1,18.59,65.36,23,Tuesday,0,0.0,-0.5487216224513556
device_98,TV,room_1,0.0,1,7.85,70.97,0,Wednesday,0,37.64666666666667,-0.5998933151747239
device_98,TV,room_1,0.0,1,11.6,55.6,0,Wednesday,0,37.64666666666667,-0.5998933151747239
device_47,TV,room_3,0.0,4,14.61,47.77,1,Wednesday,0,0.0,-0.3864270050224154
device_31,Fridge,room_4,115.54,5,17.38,63.13,3,Wednesday,0,115.54,-0.543115234923027
device_31,Fridge,room_4,115.54,3,17.38,63.13,3,Wednesday,0,115.54,-0.543115234923027
device_31,Fridge,room_4,115.54,5,15.97,55.94,3,Wednesday,0,115.54,-0.543115234923027
